"NR_all_29909.1","4V9Q|1|DV","4V9Q|1|DV,4V9Q|1|BV,4V9Q|1|DW,4V9Q|1|BW"
"NR_all_65795.40","4LFB|1|A","4LFB|1|A,5WNV|1|A,4DR6|1|A,4LF8|1|A,4LF7|1|A,4X65|1|A,5WNT|1|A,4JI1|1|A,4X64|1|A,4DUY|1|A,4DR2|1|A,4LF9|1|A,4Y4O|1|1a,4LF6|1|A,4LF4|1|A,4Y4O|1|2a,4DR5|1|A,4KHP|1|A,4V9H|1|AA,4DV6|1|A,4JI7|1|A,5FDV|1|2a,4X62|1|A,5FDV|1|1a,4DV7|1|A,5FDU|1|2a,5FDU|1|1a,5WNU|1|A,4DR3|1|A,4JYA|1|A,5HCQ|1|1a,4JI3|1|A,6CAE|1|1a,5IBB|1|1G,4JI6|1|A,5WNP|1|A,5IBB|1|13,6CFL|1|1a,4LFC|1|A,5HCQ|1|2a,4JI0|1|A,4WQ1|1|13,4WSM|1|13,4WSM|1|1G,4WQR|1|13,5IB7|1|13,5J4B|1|1a,5E81|1|13,4X66|1|A,5EL7|1|13,6CFK|1|1a,5E81|1|1G,6CFL|1|2a,5EL7|1|1G,4JI8|1|A,4WQ1|1|1G,6CAE|1|2a,4DR1|1|A,4WQR|1|1G,5EL6|1|13,4LFA|1|A,5IB8|1|13,4DV5|1|A,5IB7|1|1G,6CFJ|1|1a,6CFK|1|2a,4DV0|1|A,5J4C|1|1a,5W4K|1|1a,4DV3|1|A,5EL6|1|1G,5J4B|1|2a,5DFE|1|XA,5J8B|1|a,4Z8C|1|1a,6CAP|1|A,5HCR|1|1a,4DV4|1|A,4WSD|1|13,5NDK|1|1G,4Z8C|1|2a,5WIS|1|1a,6CAQ|1|A,4V8I|1|AA,5DFE|1|QA,5IB8|1|1G,2UXC|1|A,5NDK|1|13,4WPO|1|BA,4K0K|1|A,1VY4|1|AA,5EL4|1|13,5HCR|1|2a,4V6G|1|CA,4Z3S|1|1a,4V5F|1|CA,4JI2|1|A,6CFJ|1|2a,4WT8|1|Ab,4LNT|1|XA,4DR4|1|A,4V8D|1|AA,4V6G|1|AA,5J4C|1|2a,5EL4|1|1G,6FKR|1|1a,4JV5|1|A,4NXN|1|A,4W2I|1|AA,5HD1|1|1a,4DUZ|1|A,4LNT|1|QA,5HCP|1|1a,4W2I|1|CA,5W4K|1|2a,4LF5|1|A,4W2G|1|AA,4JI4|1|A,4WPO|1|DA,4V8D|1|CA,4DV1|1|A,6FKR|1|2a,4V5R|1|AA,4V5F|1|AA,4Z3S|1|2a,5E7K|1|13,5IWA|1|A,5EL5|1|13,4WSD|1|1G,5HCP|1|2a,5HAU|1|1a,4NXM|1|A,4DV2|1|A,4W2G|1|CA,4GKK|1|A,5E7K|1|1G,4V5R|1|CA,4WT8|1|Bb,5HAU|1|2a,5HD1|1|2a,4W2H|1|AA,4V95|1|AA,4WT1|1|13,4V7M|1|AA,4V8I|1|CA,4W4G|1|XA,4W2H|1|CA,5WIS|1|2a,4GKJ|1|A,4V8B|1|AA,4Y4P|1|1a,5WIT|1|1a,4JI5|1|A,4W4G|1|QA,4W2F|1|AA,5DOY|1|1a,1FJG|1|A,5WNQ|1|A,1VY4|1|CA,5WNS|1|A,4WRA|1|13,4V9B|1|CA,4WR6|1|13,1IBL|1|A,4V9B|1|AA,4WRA|1|1G,5DOY|1|2a,4DR7|1|A,4W2E|1|a,6C5L|1|AA,6C5L|1|CA,4V8B|1|CA,4V95|1|CA,4V9S|1|AA,4WU1|1|13,1VY5|1|AA,4WU1|1|1G,4WR6|1|1G,4V7J|1|Aa,4YZV|1|XA,4V9S|1|CA,4WQU|1|BA,4V7J|1|Ba,4ZER|1|1a,4V9R|1|CA,4ZER|1|2a,4WT1|1|1G,5WIT|1|2a,4V9R|1|AA,5EL5|1|1G,4W2F|1|CA,4WZO|1|1G,1HNW|1|A,4YPB|1|XA,4V5J|1|CA,4WZO|1|13,4Y4P|1|2a,4V5Q|1|AA,4V5P|1|CA,4V5S|1|AA,1VY7|1|AA,4ZSN|1|XA,4YPB|1|QA,4V5L|1|AA,4YZV|1|QA,4WQF|1|BA,1VY6|1|AA,4V5C|1|AA,4V5P|1|AA,4V5J|1|AA,3OTO|1|A,5NDJ|1|1G,4WRO|1|13,1XNR|1|A,4V5S|1|CA,4V6F|1|CA,4ZSN|1|QA,5NDJ|1|13,4L47|1|XA,5V8I|1|1a,1XMQ|1|A,1VY5|1|CA,4V6F|1|BA,4V51|1|AA,4V7M|1|CA,4L47|1|QA,4V8C|1|DA,1HR0|1|A,4V5Q|1|CA,1VY6|1|CA,1IBM|1|A,4WQF|1|DA,4V8C|1|CA,4TUA|1|XA,4V8Q|1|BA,6CAO|1|A,6GSK|1|1G,4V5D|1|AA,1HNZ|1|A,4TUD|1|QA,4V7K|1|Ba,6GSK|1|13,4TUA|1|QA,4WQU|1|DA,4V51|1|CA,4V9A|1|AA,6CAS|1|A,6CAR|1|A,1VY7|1|CA,4V7K|1|Aa,4V5K|1|AA,4TUC|1|XA,4V5E|1|CA,2UXB|1|A,5V8I|1|2a,4WQY|1|BA,4P6F|1|XA,4TUD|1|XA,4V5C|1|CA,4WRO|1|1G,4TUE|1|QA,4V87|1|BA,4V8E|1|DA,1IBK|1|A,4V5D|1|CA,4TUE|1|XA,1N32|1|A,3T1H|1|A,3T1Y|1|A,4V87|1|CA,5F8K|1|1a,4V8E|1|BA,4V5E|1|AA,1XNQ|1|A,4V90|1|AA,4V8H|1|AA,4P6F|1|QA,4TUB|1|XA,4V8F|1|CA,4V9A|1|CA,2HHH|1|A,4LSK|1|XA,4YY3|1|A,4TUB|1|QA,4V8H|1|CA,4V83|1|AA,4WQY|1|DA,4V7L|1|AA,5F8K|1|2a,4V97|1|AA,4V8F|1|BA,4TUC|1|QA,4V8G|1|CA,4V9K|1|AA,4V9K|1|CA,4V97|1|CA,4V9I|1|AA,4LSK|1|QA,5CZP|1|XA,1VVJ|1|XA,4LT8|1|QA,4LT8|1|XA,5CZP|1|QA,4V9Q|1|BA,4V7L|1|CA,4V67|1|AA,4V9I|1|CA,5VPO|1|XA,4KVB|1|A,1VVJ|1|QA,4OX9|1|A,5VPO|1|QA,4L71|1|XA,6B4V|1|EB,4LFZ|1|XA,5WNR|1|A,4V83|1|CA,6B4V|1|A,4P70|1|QA,4V8A|1|DA,1HNX|1|A,4P70|1|XA,4V8A|1|CA,4L71|1|QA,4LFZ|1|QA,4V9Q|1|DA,2UXD|1|A,1N33|1|A,4V67|1|CA,4V8J|1|CA,4XEJ|1|A16S,4V8J|1|AA,4XEJ|1|B16S,4V7Y|1|CA,4V9L|1|AA,4V7Y|1|AA,4V7P|1|AA,4V7P|1|DA,4V63|1|AA,4V8G|1|AA,4V9L|1|CA,4V84|1|AA,4LEL|1|XA,5D8B|1|UC,4V9M|1|AA,5DOX|1|2a,4V9M|1|CA,4V5G|1|CA,4V5G|1|AA,4V63|1|CA,4LEL|1|QA,4V5K|1|CA,5DOX|1|1a,4V84|1|CA,4V4J|1|y,5D8B|1|YC,4V7W|1|CA,1XMO|1|A,4V7X|1|CA,4V7X|1|AA,2E5L|1|A,4V7W|1|AA,4V7Z|1|AA,4W29|1|AA,4V7Z|1|CA,4V5A|1|AA,4W29|1|CA,4V5A|1|CA,2ZM6|1|A,4V4I|1|y,1N36|1|A,4V8O|1|AA,1N34|1|A,4V4R|1|AA,4V4T|1|AA,4V4S|1|AA,4V4X|1|AA,4V4Z|1|AA,4V4Y|1|AA,4V4P|1|BA+4V4P|1|B1,4B3M|1|A,4B3T|1|A,4B3R|1|A,6GSJ|1|1G,6GSJ|1|13,4B3S|1|A,5BR8|1|A,1J5E|1|A,4AQY|1|A,4V8X|1|AA,4V6A|1|CA,4V6A|1|AA,4V8U|1|AA,4V8U|1|CA,4V9N|1|AA,4V8X|1|CA,4V8N|1|AA,4V8N|1|CA,4V9J|1|AA,4V9N|1|CA,4V9J|1|CA,6GSL|1|13,6GSL|1|1G,6BOK|1|DB,6BOK|1|A,6BOH|1|A,6BOH|1|FB,5VPP|1|QA,5VPP|1|XA,4BTC|1|A,5J3C|1|XA,5J3C|1|QA,5UQ8|1|a+5UQ8|1|x,6BZ6|1|XA,6BZ6|1|QA,5J30|1|XA,5J30|1|QA,1FKA|1|A,2JL5|1|A,2JL7|1|A,5UQ7|1|a+5UQ7|1|x,6GZQ|1|A2,6BUW|1|XA,6BUW|1|QA,1I94|1|A,6BZ8|1|QA,6BZ7|1|QA,6BZ8|1|XA,6BZ7|1|XA,5ZLU|1|G,5OT7|1|1,5LMN|1|A,6GZZ|1|A3,6GZZ|1|A4,1I96|1|A,1I95|1|A,5LMQ|1|A,5LMU|1|A,5LMT|1|A,6GZX|1|A3,5LMO|1|A,6GZX|1|A4,2F4V|1|A,5LMR|1|A,5LMV|1|A,5LMS|1|A,5IMQ|1|A,5LMP|1|A,1I97|1|A,4V68|1|AA,1JGQ|1|A,4V42|1|AA,1JGO|1|A,5IMR|1|A,4V5N|1|AA,4V5M|1|AA,1JGP|1|A,5A9Z|1|BA,5AA0|1|BA"
"NR_all_88364.1","4V4B|1|AA","4V4B|1|AA"
"NR_all_15400.1","4V49|1|AA","4V49|1|AA,4V4A|1|AA,1ML5|1|A"
"NR_all_97519.35","4Y4O|1|2A","4Y4O|1|2A,4Y4O|1|1A,5HCQ|1|2A,4V9H|1|BA,5FDU|1|1A,5FDV|1|1A,5HCQ|1|1A,4V8I|1|BA,5FDV|1|2A,5FDU|1|2A,4WPO|1|AA,5IBB|1|1H,5IB7|1|1H,6CAE|1|1A,5E81|1|1H,4V8I|1|DA,6CFL|1|1A,4WQR|1|1H,4WQ1|1|1H,5IBB|1|14,6CFL|1|2A,4WSM|1|1H,6CAE|1|2A,4WQ1|1|14,5DFE|1|YA,4V95|1|BA,5E81|1|14,5IB7|1|14,4WQR|1|14,4WSM|1|14,5DFE|1|RA,5HCR|1|2A,5IB8|1|1H,6CFK|1|1A,4WPO|1|CA,5EL7|1|1H,4Z8C|1|2A,5NDK|1|1H,4WSD|1|1H,6CFJ|1|1A,5W4K|1|1A,5HCR|1|1A,4V6G|1|DA,6CFK|1|2A,4WQU|1|AA,5J4B|1|2A,5IB8|1|14,5EL7|1|14,4V8D|1|BA,1VY4|1|DA,5J4B|1|1A,5EL6|1|14,4WSD|1|14,5NDK|1|14,5J8B|1|A,5EL6|1|1H,4V9R|1|BA,5EL4|1|1H,5HD1|1|2A,4V6G|1|BA,5WIS|1|1A,1VY4|1|BA,5J4C|1|2A,4Z8C|1|1A,4LNT|1|YA,4WQF|1|AA,4V9R|1|DA,5J4C|1|1A,4V95|1|DA,4W2G|1|DA,5HCP|1|2A,4W2H|1|DA,5HD1|1|1A,4V8D|1|DA,5HCP|1|1A,4V9S|1|BA,4W2G|1|BA,4V8G|1|BA,6FKR|1|1A,5W4K|1|2A,4V8B|1|BA,4V8G|1|DA,4V9S|1|DA,4V5F|1|DA,6CFJ|1|2A,4Z3S|1|1A,5EL4|1|14,4Z3S|1|2A,4V5J|1|DA,4W2H|1|BA,4W2I|1|BA,4W2I|1|DA,4V8H|1|DA,4WT1|1|1H,4V8H|1|BA,4V5F|1|BA,5HAU|1|1A,5HAU|1|2A,6C5L|1|DA,4WT8|1|C1,6C5L|1|BA,4V7M|1|BA,4WR6|1|1H,4WT1|1|14,4LNT|1|RA,4WRA|1|1H,5WIS|1|2A,5E7K|1|1H,6FKR|1|2A,4WT8|1|D1,4W2F|1|DA,4WR6|1|14,5EL5|1|1H,4W4G|1|YA,4WQU|1|CA,4W4G|1|RA,4WRA|1|14,4V9B|1|DA,4WQF|1|CA,4W2F|1|BA,4WU1|1|1H,4V8B|1|DA,1VY7|1|BA,5EL5|1|14,4WU1|1|14,4Y4P|1|1A,5E7K|1|14,4Y4P|1|2A,4WQY|1|AA,4V9B|1|BA,4ZER|1|1A,1VY5|1|DA,5WIT|1|1A,1VY7|1|DA,1VY5|1|BA,5V8I|1|1A,5DOY|1|2A,4V5J|1|BA,5DOY|1|1A,5NDJ|1|1H,4WZO|1|1H,4V7J|1|AA,4ZER|1|2A,4V7J|1|BA,5WIT|1|2A,4V5R|1|BA,4V5R|1|DA,1VY6|1|DA,4L47|1|YA,1VY6|1|BA,5NDJ|1|14,4WZO|1|14,4YPB|1|YA,4V8C|1|AA,4V87|1|AA,5V8I|1|2A,4WQY|1|CA,4YPB|1|RA,4V8A|1|BA,4V8C|1|BA,4WRO|1|1H,4V5E|1|BA,4V5E|1|DA,4V6F|1|DA,4YZV|1|RA,4WRO|1|14,4V5S|1|BA,4V5S|1|DA,4V8F|1|AA,4V90|1|BA,5VPO|1|YA,6GSK|1|1H,4YZV|1|YA,4L47|1|RA,4V8E|1|AA,4V8Q|1|AA,4V51|1|BA,4TUA|1|YA,4V87|1|DA,4V5P|1|BA,4V5C|1|BA,4V7K|1|AA,4V5Q|1|BA,4V5D|1|BA,4ZSN|1|RA,4TUD|1|YA,4V51|1|DA,4ZSN|1|YA,4V5K|1|BA,4P6F|1|YA,4V7K|1|BA,4V8E|1|CA,4V9A|1|DA,5F8K|1|1A,4V9A|1|BA,4TUD|1|RA,4V5P|1|DA,4V83|1|DA,4V8A|1|AA,4TUC|1|YA,4TUA|1|RA,4W2E|1|A,4TUE|1|YA,4V5Q|1|DA,6GSK|1|14,4V9I|1|BA,4V8F|1|DA,4LSK|1|YA,4V6F|1|AA,4V5C|1|DA,4V5K|1|DA,4V83|1|BA,4V7Y|1|BA,4TUE|1|RA,4V5D|1|DA,4V97|1|DA,4V7Y|1|DA,4TUC|1|RA,5F8K|1|2A,4LT8|1|YA,4V5L|1|BA,4TUB|1|YA,5VPO|1|RA,4P6F|1|RA,4TUB|1|RA,4V9I|1|DA,1VVJ|1|YA,4V9K|1|BA,4V9K|1|DA,4V7L|1|BA,4V7M|1|DA,4LSK|1|RA,4LT8|1|RA,4V9Q|1|CA,4V97|1|BA,4V7X|1|BA,5DOX|1|2A,1VVJ|1|RA,5CZP|1|RA,6B4V|1|B,4V84|1|DA,5CZP|1|YA,4V9Q|1|AA,4V84|1|BA,4V7X|1|DA,5DOX|1|1A,4V67|1|BA,4L71|1|YA,4LFZ|1|YA,4V7L|1|DA,4V7W|1|BA,4V7W|1|DA,4P70|1|YA,6B4V|1|FB,4V67|1|DA,4XEJ|1|B23S,4LFZ|1|RA,4L71|1|RA,4P70|1|RA,4XEJ|1|A23S,4V9L|1|BA,4V7P|1|BA,4V7P|1|CA,4V9L|1|DA,4V9M|1|BA,4V63|1|DA,4V9M|1|DA,4V63|1|BA,4LEL|1|YA,5D8B|1|ZC,4V7Z|1|BA,5D8B|1|VC,4LEL|1|RA,4V7Z|1|DA,4V8J|1|DA,4V8J|1|BA,4V5G|1|DA,4V5G|1|BA,4V4J|1|w,4W29|1|BA,4V5A|1|DA,4V5A|1|BA,4W29|1|DA,4V4I|1|w,4V8O|1|BA,4V4Z|1|BA,4V4X|1|BA,4V4R|1|BA,4V4Y|1|BA,4V4S|1|BA,4V4T|1|BA,4V4P|1|AA,6GSJ|1|1H,6GSJ|1|14,4V6A|1|BA,4V8X|1|DA,4V8N|1|BA,4V8X|1|BA,4V9N|1|DA,4V6A|1|DA,4V8N|1|DA,4V9N|1|BA,4V8U|1|BA,4V8U|1|DA,4V9J|1|BA,4V9J|1|DA,6GSL|1|1H,6GSL|1|14,6BOK|1|B,6BOK|1|EB,6BOH|1|GB,6BOH|1|B,5VPP|1|YA,5VPP|1|RA,5J3C|1|YA,5J3C|1|RA,6BZ6|1|RA,6BZ6|1|YA,5J30|1|RA,5J30|1|YA,6GZQ|1|A1,2JL6|1|A,2JL8|1|A,5UQ8|1|A,6BUW|1|YA,6BUW|1|RA,6BZ7|1|RA,6BZ8|1|RA,6BZ8|1|YA,6BZ7|1|YA,5OT7|1|4,5UQ7|1|A,5ZLU|1|V,6GZZ|1|A2,6GZZ|1|A1,6GZX|1|A1,6GZX|1|A2,5IMQ|1|D,4V68|1|BA,4V42|1|BA,4V5N|1|BA,4V5M|1|BA,5IMR|1|D,5A9Z|1|AA,5AA0|1|AA"
"NR_all_68844.1","1ML5|1|a","1ML5|1|a"
"NR_all_42622.35","5FDV|1|1B","5FDV|1|1B,5FDU|1|1B,4Y4O|1|1B,4Y4O|1|2B,5IBB|1|16,5HCQ|1|1B,4WPO|1|AB,5E81|1|16,5DFE|1|YB,6CFL|1|1B,6CAE|1|1B,4WQR|1|16,5FDV|1|2B,5IB7|1|16,4V8I|1|BB,5FDU|1|2B,5IBB|1|1J,5IB8|1|16,5W4K|1|1B,5E81|1|1J,4V95|1|BB,5DFE|1|RB,6CFK|1|1B,4WQU|1|AB,4WSM|1|16,4WQ1|1|1J,5NDK|1|16,4WSD|1|16,5HCR|1|1B,5EL7|1|16,4WSM|1|1J,5NDK|1|1J,4WQ1|1|16,5J4B|1|1B,4LNT|1|YB,6CFJ|1|1B,4WQF|1|AB,5IB7|1|1J,5EL6|1|16,4V8D|1|BB,4V8G|1|BB,4WT1|1|16,4W2G|1|BB,5J4C|1|1B,4Z8C|1|1B,5J4B|1|2B,6CFL|1|2B,5EL4|1|16,4V9R|1|BB,5EL6|1|1J,5HD1|1|1B,5HCP|1|1B,6FKR|1|1B,4V9H|1|BB,4W2I|1|BB,4V8D|1|DB,4WQR|1|1J,5WIS|1|1B,4Z3S|1|1B,5EL7|1|1J,4WQY|1|AB,4WR6|1|16,6CAE|1|2B,4Z8C|1|2B,4LNT|1|RB,1VY4|1|BB,5HAU|1|1B,4WPO|1|CB,4V6G|1|DB,4V8B|1|BB,5J8B|1|B,4V5J|1|DB,4W2H|1|BB,4WSD|1|1J,5IB8|1|1J,4WRA|1|16,6CFK|1|2B,5J4C|1|2B,4V9S|1|BB,4ZER|1|1B,5HAU|1|2B,4WT8|1|Cs,5HCQ|1|2B,4WRA|1|1J,1VY7|1|BB,4W2F|1|BB,6C5L|1|DB,5WIT|1|1B,4V7M|1|BB,6CFJ|1|2B,4V8H|1|BB,5NDJ|1|16,5V8I|1|1B,4V9B|1|BB,6FKR|1|2B,5E7K|1|1J,4WU1|1|16,5W4K|1|2B,1VY5|1|BB,4W2I|1|DB,4Y4P|1|1B,5DOY|1|1B,4V5F|1|DB,4W4G|1|RB,4V8G|1|DB,4W2G|1|DB,4V5F|1|BB,5EL5|1|16,4V6F|1|DB,4W4G|1|YB,4WZO|1|16,4WQF|1|CB,4WR6|1|1J,5E7K|1|16,4V8E|1|AB,4WU1|1|1J,4V9S|1|DB,4V5R|1|DB,5HCR|1|2B,5NDJ|1|1J,4V8A|1|BB,4Z3S|1|2B,4V9R|1|DB,5EL4|1|1J,4V9B|1|DB,6C5L|1|BB,5VPO|1|YB,4YZV|1|YB,5HD1|1|2B,4V5R|1|BB,6GSK|1|16,4V95|1|DB,4V8C|1|AB,4W2F|1|DB,4ZSN|1|YB,4YZV|1|RB,1VY6|1|BB,5WIS|1|2B,4LT8|1|YB,4V8F|1|AB,4WT1|1|1J,4L47|1|YB,4ZSN|1|RB,4WQU|1|CB,1VY4|1|DB,4YPB|1|YB,4V6G|1|BB,4WQY|1|CB,4V5Q|1|BB,4TUA|1|YB,4ZER|1|2B,4V8C|1|BB,4WRO|1|16,4V8B|1|DB,5F8K|1|1B,5DOY|1|2B,4V90|1|BB,4V5P|1|BB,5HCP|1|2B,4Y4P|1|2B,4YPB|1|RB,4V7J|1|AB,4TUD|1|RB,4W2H|1|DB,4V5E|1|DB,4V5P|1|DB,4V5S|1|BB,4V9A|1|BB,4V87|1|AB,4V51|1|BB,4TUC|1|YB,4V5D|1|BB,5EL5|1|1J,4V7J|1|BB,4WT8|1|Ds,4V5C|1|BB,4L47|1|RB,1VY5|1|DB,4V8H|1|DB,4W2E|1|B,4V5Q|1|DB,4LSK|1|YB,4V5S|1|DB,4WZO|1|1J,4TUA|1|RB,4V9I|1|BB,4V87|1|DB,6GSK|1|1J,4P6F|1|YB,4V8Q|1|AB,4V51|1|DB,5WIT|1|2B,4V8E|1|CB,4V8I|1|DB,4V97|1|DB,5CZP|1|YB,4V7L|1|BB,4TUE|1|RB,4TUD|1|YB,1VY6|1|DB,4TUB|1|YB,4V5E|1|BB,1VVJ|1|YB,1VY7|1|DB,5DOX|1|1B,5CZP|1|RB,4TUE|1|YB,4WRO|1|1J,4V97|1|BB,4V9Q|1|CB,4V6F|1|AB,4V5L|1|BB,4LT8|1|RB,4V5D|1|DB,4V5K|1|BB,5V8I|1|2B,4V5J|1|BB,4V7L|1|DB,4V7K|1|AB,5DOX|1|2B,4V83|1|DB,5F8K|1|2B,4V9A|1|DB,4V7K|1|BB,5VPO|1|RB,4TUC|1|RB,4P70|1|RB,4V8F|1|DB,4P70|1|YB,4V83|1|BB,1VVJ|1|RB,4L71|1|YB,4V9Q|1|AB,6B4V|1|C,4TUB|1|RB,4V9K|1|BB,4LSK|1|RB,4V8A|1|AB,4V5K|1|DB,4V7Y|1|BB,6B4V|1|GB,4V9K|1|DB,4V67|1|BB,4P6F|1|RB,4V9I|1|DB,5D8B|1|AD,4L71|1|RB,4LEL|1|YB,4V5C|1|DB,4LFZ|1|YB,4V7X|1|BB,4V7W|1|BB,4LFZ|1|RB,4V84|1|BB,4V9L|1|BB,4V9M|1|BB,4V4J|1|x,4V84|1|DB,5D8B|1|WC,4V63|1|BB,4V9M|1|DB,4XEJ|1|B5S,4V63|1|DB,4V7Y|1|DB,4V8J|1|BB,4V5G|1|DB,4V9L|1|DB,4V7P|1|BB,4V5G|1|BB,4V7P|1|CB,4XEJ|1|A5S,4LEL|1|RB,4V67|1|DB,4V7W|1|DB,4V8J|1|DB,4W29|1|BB,4V7M|1|DB,4V7X|1|DB,4V5A|1|BB,4W29|1|DB,4V4I|1|x,4V7Z|1|BB,4V5A|1|DB,4V8O|1|BB,4V7Z|1|DB,4V4R|1|BB,4V4S|1|BB,4V4T|1|BB,4V4Z|1|BB,4V4X|1|BB,4V4Y|1|BB,4V4P|1|AB,6GSJ|1|16,6GSJ|1|1J,4V6A|1|BB,4V8U|1|BB,4V6A|1|DB,4V8X|1|BB,4V8U|1|DB,4V9J|1|BB,4V8N|1|BB,4V9J|1|DB,4V9N|1|DB,4V9N|1|BB,4V8X|1|DB,4V8N|1|DB,6GSL|1|16,6GSL|1|1J,6BOK|1|C,6BOK|1|FB,6BOH|1|HB,6BOH|1|C,5VPP|1|YB,5VPP|1|RB,5J3C|1|RB,5J3C|1|YB,5J30|1|RB,6BZ6|1|RB,6BZ6|1|YB,6GZQ|1|B1,5J30|1|YB,2JL8|1|B,2JL6|1|B,5UQ8|1|B,5ZLU|1|X,6BUW|1|RB,6BUW|1|YB,6BZ7|1|RB,5UQ7|1|B,6BZ7|1|YB,6BZ8|1|YB,6BZ8|1|RB,5OT7|1|5,6GZZ|1|B1,6GZZ|1|B2,6GZX|1|B1,6GZX|1|B2,5IMQ|1|E,4V42|1|BB,4V68|1|BB,5IMR|1|E,4V5N|1|BB,4V5M|1|BB,5A9Z|1|AB,5AA0|1|AB"
"NR_all_68441.1","1ML5|1|b","1ML5|1|b"
"NR_all_02656.1","4P5J|1|A","4P5J|1|A"
"NR_all_11900.1","2WWB|1|G","2WWB|1|G"
"NR_all_99842.1","2WWB|1|F","2WWB|1|F"
"NR_all_78722.1","2WWB|1|E","2WWB|1|E"
"NR_all_12174.1","2WWB|1|D","2WWB|1|D"
"NR_all_07053.1","3JBN|1|A","3JBN|1|A,3JBO|1|A,3JBP|1|A"
"NR_all_26186.1","4JRC|1|B","4JRC|1|B,4JRC|1|A"
"NR_all_00085.1","2PCV|5|A","2PCV|5|A"
"NR_all_63919.1","5B63|1|D","5B63|1|D,5B63|1|B"
"NR_all_03510.20","4V88|1|A6","4V88|1|A6,5TBW|1|sR,4V88|1|A2,5TBW|1|A,5OBM|1|6,5I4L|1|6,5MEI|1|6,5NDW|1|6,5LYB|1|6,5I4L|1|2,5OBM|1|2,5MEI|1|A,5ON6|1|6,5NDW|1|2,5LYB|1|2,5NDV|1|6,5NDV|1|2,5ON6|1|A,5NDG|1|6,5NDG|1|2,5TGM|1|6,5TGM|1|2,4V7R|1|A1,4V7R|1|C1,5DAT|1|6,5TGA|1|6,5DGE|1|6,5DGV|1|6,5DGF|1|6,5DC3|1|6,5DAT|1|2,5TGA|1|2,5DGV|1|2,5DGE|1|2,5DGF|1|2,5DC3|1|2,4U4R|1|6,4U4R|1|2,4U3U|1|6,4U3U|1|2,4U3M|1|6,4U4Q|1|6,4U4U|1|6,4U52|1|6,4U3M|1|2,4U52|1|2,4U4U|1|2,4U6F|1|6,4U4Q|1|2,4U4N|1|6,4U6F|1|2,4U4Z|1|6,4U4Y|1|6,4U3N|1|6,4U4Z|1|2,4U55|1|6,5M1J|1|22,4U4N|1|2,4U50|1|6,4U51|1|6,4U3N|1|2,4U4Y|1|2,4U51|1|2,4U55|1|2,6FAI|1|2,4U50|1|2,5JUP|1|A,4U53|1|6,4U53|1|2,4U56|1|6,4U56|1|2,5MC6|1|2,6EML|1|2,5JUO|1|A,5JUT|1|A,5JUU|1|A,6GQB|1|2,5JUS|1|A,6GQV|1|2,4U4O|1|6,4U4O|1|2,4V8Y|1|B2,6GQ1|1|2,5LL6|1|2,5WLC|1|L1+5WLC|1|L0+5WLC|1|L2,5WYK|1|SA+5WYK|1|5A+5WYK|1|3A,3J6Y|1|1S,3J6X|1|1S,3J77|1|1S,3J78|1|1S,4V8Z|1|B2,5TZS|1|1,5WYJ|1|SA+5WYJ|1|5A+5WYJ|1|3A,4V6I|1|CA"
"NR_all_56644.1","4V7H|1|AA","4V7H|1|AA"
"NR_all_60605.1","4UER|1|A","4UER|1|A"
"NR_all_72076.3","3JAM|1|2","3JAM|1|2,3J80|1|2,3J81|1|2,5IT9|1|2,4V92|1|A2,3JAP|1|2,3JAQ|1|2"
"NR_all_26758.1","5JPQ|1|2","5JPQ|1|2"
"NR_all_63319.1","3JAP|1|1","3JAP|1|1"
"NR_all_99632.2","1YFG|1|A","1YFG|1|A,5OA3|1|1,3J81|1|1,3JAQ|1|1"
"NR_all_21686.1","2HGH|1|B","2HGH|1|B"
"NR_all_36960.1","2KOC|1|A","2KOC|1|A,6BY5|9|A,6BY4|1|A"
"NR_all_92049.1","1KPZ|1|A","1KPZ|1|A,1KPY|3|A"
"NR_all_86088.1","5LR4|1|A+5LR4|1|B","5LR4|1|A+5LR4|1|B,5LR4|1|C+5LR4|1|D"
"NR_all_08637.1","5BZ1|1|B","5BZ1|1|B"
"NR_all_00933.1","6B6H|1|3","6B6H|1|3"
"NR_all_33416.1","2DD1|1|A+2DD1|1|B","2DD1|1|A+2DD1|1|B,1XV0|1|A+1XV0|1|B"
"NR_all_89206.1","4V91|1|3","4V91|1|3"
"NR_all_21736.5","6D30|1|C","6D30|1|C,3ER9|1|D,5KAL|1|Y,4NIA|1|3,5KAL|1|Z,4NIA|1|7,4NIA|1|4,5NEW|1|C,4NIA|1|v,4NIA|1|u,4NIA|1|6,4OQ9|1|7,4NIA|1|x,4NIA|1|1,4OQ9|1|4,4NIA|1|8,4OQ9|1|8,4OQ9|1|t,4OQ9|1|y,4NIA|1|5,4OQ9|1|x,2VRT|1|E,4NIA|1|w,4NIA|1|t,4OQ9|1|6,4OQ8|1|D,4NIA|1|z,4OQ9|1|w,4OQ9|1|5,4NIA|1|y,4NIA|1|2,2VRT|1|F,4OQ9|1|u,4OQ9|1|z,4OQ9|1|2,4OQ9|1|v,4OQ9|1|3,1DDL|1|E,4OQ9|1|1"
"NR_all_39771.1","3J0O|1|E+3J0O|1|e","3J0O|1|E+3J0O|1|e,3J0L|1|E+3J0L|1|e"
"NR_all_83754.1","2IRO|1|A+2IRO|1|B","2IRO|1|A+2IRO|1|B"
